long	string	int[]	long	int	int	int[]	int[]	int	int	int	int
65070		3	40048	20	90102	800	1+1	10000		70	1
65071		3	40049	20	90102	800	1+1	10000		71	1
65072		3	40050	20	90102	800	1+1	10000		72	1
65073		3	40051	20	90102	800	1+1	10000		73	1
65074		3	40052	20	90102	800	1+1	10000		74	1
65075		3	40053	20	90102	800	1+1	10000		75	1
65076		3	40054	20	90102	800	1+1	10000		76	1
65077		3	40055	20	90102	800	1+1	10000		77	1
65078		3	40056	20	90102	800	1+1	10000		78	1
65079		3	1301	1	90102	3000	1+1	10000		79	1
65080		3	1302	1	90102	3000	1+1	10000		80	1
65081		3	1303	1	90102	3000	1+1	10000		81	1
65082		3	1305	1	90102	3000	1+1	10000		82	1
65083		3	1306	1	90102	3000	1+1	10000		83	1
65084		3	1307	1	90102	3000	1+1	10000		84	1
65085		3	1311	1	90102	3000	1+1	10000		85	1
65086		3	1401	1	90102	12000	1+1	10000		86	1
65087		3	1402	1	90102	12000	1+1	10000		87	1
65088		3	1403	1	90102	12000	1+1	10000		88	1
65089		3	1404	1	90102	12000	1+1	10000		89	1
65090		3	1405	1	90102	12000	1+1	10000		90	1
65091		3	1406	1	90102	12000	1+1	10000		91	1
65092		3	1407	1	90102	12000	1+1	10000		92	1
65093		3	1408	1	90102	12000	1+1	10000		93	1
65094		3	1409	1	90102	12000	1+1	10000		94	1
65095		3	1410	1	90102	12000	1+1	10000		95	1
65096		3	1501	1	90102	24000	1+1	10000		96	1
65097		3	1502	1	90102	24000	1+1	10000		97	1
65098		3	1503	1	90102	24000	1+1	10000		98	1
65099		3	1504	1	90102	24000	1+1	10000		99	1
65100		3	1505	1	90102	24000	1+1	10000		100	1
65101		3	1506	1	90102	24000	1+1	10000		101	1
65102		3	1507	1	90102	24000	1+1	10000		102	1
65103		3	1508	1	90102	24000	1+1	10000		103	1
65104		3	1509	1	90102	24000	1+1	10000		104	1
65105		3	1301	1	90101	688	1+1	10000		105	1
65106		3	1302	1	90101	688	1+1	10000		106	1
65107		3	1303	1	90101	688	1+1	10000		107	1
65108		3	1305	1	90101	688	1+1	10000		108	1
65109		3	1306	1	90101	688	1+1	10000		109	1
65110		3	1307	1	90101	688	1+1	10000		110	1
65111		3	1311	1	90101	688	1+1	10000		111	1
65112		3	1401	1	90101	2888	1+1	10000		112	1
65113		3	1402	1	90101	2888	1+1	10000		113	1
65114		3	1403	1	90101	2888	1+1	10000		114	1
65115		3	1404	1	90101	2888	1+1	10000		115	1
65116		3	1405	1	90101	2888	1+1	10000		116	1
65117		3	1406	1	90101	2888	1+1	10000		117	1
65118		3	1407	1	90101	2888	1+1	10000		118	1
65119		3	1408	1	90101	2888	1+1	10000		119	1
65120		3	1409	1	90101	2888	1+1	10000		120	1
65121		3	1410	1	90101	2888	1+1	10000		121	1
65122		3	1501	1	90101	5888	1+1	10000		122	1
65123		3	1502	1	90101	5888	1+1	10000		123	1
65124		3	1503	1	90101	5888	1+1	10000		124	1
65125		3	1504	1	90101	5888	1+1	10000		125	1
65126		3	1505	1	90101	5888	1+1	10000		126	1
65127		3	1506	1	90101	5888	1+1	10000		127	1
65128		3	1507	1	90101	5888	1+1	10000		128	1
65129		3	1508	1	90101	5888	1+1	10000		129	1
65130		3	1509	1	90101	5888	1+1	10000		130	1
63026		3	40050	5	90107	50	3+0	10000		1	1
63027		3	1410	1	90107	2880	1+0	10000		2	1
63028		3	53011	1	90107	900	1+0	10000		3	0
63029		3	53012	1	90107	900	1+0	10000		4	0
63030		3	53013	1	90107	900	1+0	10000		5	0
63031		3	53014	1	90107	900	1+0	10000		6	0
63032		3	52021	1	90107	300	1+0	10000		7	0
63033		3	52022	1	90107	300	1+0	10000		8	0
63034		3	52023	1	90107	300	1+0	10000		9	0
63035		3	44036	1	90107	25	20+0	10000		10	0
63036		3	44041	1	90107	75	0+0	10000		11	0
63037		3	44045	1	90107	90	0+0	10000		12	0
63038		3	44024	1	90107	40	0+0	10000		13	0
63039		3	43042	1	90107	515	0+0	10000		14	0
63040		3	43002	1	90107	90	0+0	10000		15	0
63041		3	43012	1	90107	90	0+0	10000		16	0
63042		3	43022	1	90107	90	0+0	10000		17	0
63043		3	43032	1	90107	90	0+0	10000		18	0
64001		4	43301	1	90101	960	1+1	5000		1	1
64003		4	52011	1	90101	200	1+1	5000		3	1
64004		4	43051	5	90101	2420	1+1	5000		4	1
64005		4	42002	10	90101	300	1+1	5000		5	1
64006		4	41000	1000	90101	450	1+1	5000		6	1
64007		4	45101	10	90101	2600	1+1	5000		7	1
70004		1	44023	1	90101	13	0+0	10000		110	1
70005		1	44024	1	90101	26	0+0	10000		111	1
70006		1	44025	1	90101	78	0+0	10000		112	1
70007		1	44026	1	90101	156	0+0	10000		113	1
70008		2	44007	1	90101	20	0+0	10000		201	1
70009		2	44009	1	90101	60	0+0	10000		202	1
70010		3	44001	1	90101	30	3+0	10000		1	
70011		3	44003	1	90101	30	3+0	10000		2	
70012		2	44005	1	90101	100	0+0	10000		203	1
70013		2	44008	1	90101	50	0+0	10000		204	1
70014		2	44010	1	90101	100	0+0	10000		205	1
70015		2	44011	1	90101	100	0+0	10000		206	1
70016		2	44012	1	90101	100	0+0	10000		207	1
70017		2	44013	1	90101	100	0+0	10000		208	1
70018		2	44014	1	90101	200	0+0	10000		209	1
70021		4	44015	1	90101	60	0+0	10000		301	
70022		4	44016	1	90101	60	0+0	10000		302	
70023		4	44017	1	90101	60	0+0	10000		303	
70024		4	44018	1	90101	60	0+0	10000		304	
70025		4	44019	1	90101	100	0+0	10000		305	
70026		1	43011	1	90101	30	0+0	10000		101	
70027		1	43001	1	90101	30	0+0	10000		102	
70028		1	43021	1	90101	30	0+0	10000		103	
70029		1	43031	1	90101	30	0+0	10000		104	
70030		1	43013	1	90101	270	0+0	10000		105	
70031		1	43003	1	90101	270	0+0	10000		106	
70032		1	43023	1	90101	270	0+0	10000		107	
70033		1	43033	1	90101	270	0+0	10000		108	
70034		2	44006	1	90101	200	0+0	10000		210	
70035		2	44049	1	90101	100	0+0	10000		211	
70036		1	44070	1	90101	3	0+0	10000		109	
70040		3	44035	1	90101	1500	0+0	10000		6	
70041		1	44027	1	90101	10	0+0	10000		110	
70042		1	44028	1	90101	20	0+0	10000		111	
70043		1	44029	1	90101	60	0+0	10000		112	
70044		1	44030	1	90101	120	0+0	10000		113	
70045		1	44031	1	90101	12	0+0	10000		114	
70046		1	44032	1	90101	24	0+0	10000		115	
70047		1	44033	1	90101	72	0+0	10000		116	
70048		1	44034	1	90101	144	0+0	10000		117	
66031		3	54021	1	90101	720	1+0	10000		1	
66032		3	54022	1	90101	720	1+0	10000		2	
66033		3	54023	1	90101	720	1+0	10000		3	
66034		3	54024	1	90101	720	1+0	10000		4	
66035		3	54025	1	90101	720	1+0	10000		5	
66036		3	45003	1	90101	15	1+0	10000		6	
66037		3	45004	1	90101	22	1+0	10000		7	
66038		3	45008	1	90101	15	1+0	10000		8	
66039		3	45009	1	90101	22	1+0	10000		9	
66040		3	45013	1	90101	15	1+0	10000		10	
66041		3	45014	1	90101	22	1+0	10000		11	
66042		3	45018	1	90101	15	1+0	10000		12	
66043		3	45019	1	90101	22	1+0	10000		13	
66044		3	45101	1	90101	260	1+0	10000		14	
66045		3	44042	1	90101	150	1+0	10000		15	
66046		3	44046	1	90101	150	1+0	10000		16	
66047		3	44031	1	90101	12	1+0	10000		17	
66048		3	44032	1	90101	24	1+0	10000		18	
66049		3	44033	1	90101	72	1+0	10000		19	
66050		3	44034	1	90101	144	1+0	10000		20	
66051		3	44023	1	90101	13	1+0	10000		21	
66052		3	44024	1	90101	26	1+0	10000		22	
66053		3	44025	1	90101	78	1+0	10000		23	
66054		3	44026	1	90101	156	1+0	10000		24	
66055		3	44036	1	90101	15	1+0	10000		25	
66056		3	44037	1	90101	20	1+0	10000		26	
66057		3	44038	1	90101	100	1+0	10000		27	
66058		3	44039	1	90101	300	1+0	10000		28	
66059		3	44010	1	90101	100	1+0	10000		29	
66060		3	44011	1	90101	100	1+0	10000		30	
66061		3	44012	1	90101	100	1+0	10000		31	
66062		3	44013	1	90101	100	1+0	10000		32	
66063		3	44014	1	90101	200	1+0	10000		33	
66064		3	44015	1	90101	60	1+0	10000		34	
66065		3	44016	1	90101	60	1+0	10000		35	
66066		3	44017	1	90101	60	1+0	10000		36	
66067		3	44018	1	90101	60	1+0	10000		37	
66068		3	44019	1	90101	100	1+0	10000		38	
66069		3	41001	2	90101	6	1+0	10000		39	
66070		3	41002	5	90101	6	1+0	10000		40	
66071		3	41003	5	90101	6	1+0	10000		41	
66072		3	41004	5	90101	6	1+0	10000		42	
66073		3	41005	5	90101	6	1+0	10000		43	
66074		3	41006	5	90101	6	1+0	10000		44	
66075		3	41007	5	90101	6	1+0	10000		45	
66076		3	41008	5	90101	6	1+0	10000		46	
66077		3	41009	5	90101	6	1+0	10000		47	
66078		3	41010	5	90101	6	1+0	10000		48	
66079		3	41011	5	90101	6	1+0	10000		49	
66080		3	41012	5	90101	6	1+0	10000		50	
66081		3	41013	5	90101	6	1+0	10000		51	
66082		3	41014	5	90101	6	1+0	10000		52	
66083		3	41015	5	90101	6	1+0	10000		53	
66084		3	41016	5	90101	6	1+0	10000		54	
66085		3	41017	5	90101	6	1+0	10000		55	
66086		3	41018	5	90101	6	1+0	10000		56	
66087		3	41019	5	90101	6	1+0	10000		57	
66088		3	41020	5	90101	6	1+0	10000		58	
66089		3	41021	5	90101	6	1+0	10000		59	
66090		3	41022	5	90101	6	1+0	10000		60	
66091		3	41023	5	90101	6	1+0	10000		61	
66092		3	41024	5	90101	6	1+0	10000		62	
66093		3	41025	5	90101	6	1+0	10000		63	
66094		3	41026	5	90101	6	1+0	10000		64	
66095		3	41027	5	90101	6	1+0	10000		65	
66096		3	41028	5	90101	6	1+0	10000		66	
66097		3	41029	5	90101	6	1+0	10000		67	
66098		3	41030	5	90101	6	1+0	10000		68	
66099		3	41031	5	90101	6	1+0	10000		69	
66100		3	41032	5	90101	6	1+0	10000		70	
66101		3	41033	5	90101	6	1+0	10000		71	
66102		3	41034	5	90101	6	1+0	10000		72	
66103		3	41035	5	90101	6	1+0	10000		73	
66104		3	41036	5	90101	6	1+0	10000		74	
66105		3	41037	5	90101	6	1+0	10000		75	
66106		3	41038	5	90101	6	1+0	10000		76	
66107		3	41039	5	90101	6	1+0	10000		77	
66108		3	41040	5	90101	6	1+0	10000		78	
66109		3	41041	5	90101	6	1+0	10000		79	
66110		3	41042	5	90101	6	1+0	10000		80	
66111		3	41043	5	90101	6	1+0	10000		81	
66112		3	41044	5	90101	6	1+0	10000		82	
66113		3	41045	5	90101	6	1+0	10000		83	
66114		3	41046	5	90101	6	1+0	10000		84	
66115		3	41047	5	90101	6	1+0	10000		85	
66116		3	41048	5	90101	6	1+0	10000		86	
66117		3	41049	5	90101	6	1+0	10000		87	
66118		3	41050	5	90101	6	1+0	10000		88	
66119		3	41051	5	90101	6	1+0	10000		89	
66120		3	41052	5	90101	6	1+0	10000		90	
66121		3	41053	5	90101	6	1+0	10000		91	
66122		3	41054	5	90101	6	1+0	10000		92	
66123		3	41055	5	90101	6	1+0	10000		93	
66124		3	41056	5	90101	6	1+0	10000		94	
66125		3	41057	5	90101	6	1+0	10000		95	
66126		3	41058	5	90101	6	1+0	10000		96	
66127		3	41059	5	90101	6	1+0	10000		97	
66128		3	41060	5	90101	6	1+0	10000		98	
66129		3	41101	5	90101	6	1+0	10000		99	
66130		3	41102	5	90101	6	1+0	10000		100	
66131		3	41103	5	90101	6	1+0	10000		101	
66132		3	41104	5	90101	6	1+0	10000		102	
66133		3	41105	5	90101	6	1+0	10000		103	
66134		3	41106	5	90101	6	1+0	10000		104	
66135		3	41107	5	90101	6	1+0	10000		105	
66136		3	41108	5	90101	6	1+0	10000		106	
66137		3	41109	5	90101	6	1+0	10000		107	
66138		3	41110	5	90101	6	1+0	10000		108	
66139		3	41111	5	90101	6	1+0	10000		109	
66140		3	41112	5	90101	6	1+0	10000		110	
66141		3	41113	5	90101	6	1+0	10000		111	
66142		3	41114	5	90101	6	1+0	10000		112	
66143		3	41115	5	90101	6	1+0	10000		113	
66144		3	41116	5	90101	6	1+0	10000		114	
66145		3	41117	5	90101	6	1+0	10000		115	
66146		3	41118	5	90101	6	1+0	10000		116	
66147		3	41119	5	90101	6	1+0	10000		117	
66148		3	41120	5	90101	6	1+0	10000		118	
66149		3	41121	5	90101	6	1+0	10000		119	
66150		3	41122	5	90101	6	1+0	10000		120	
66151		3	41123	5	90101	6	1+0	10000		121	
66152		3	41124	5	90101	6	1+0	10000		122	
66153		3	41125	5	90101	6	1+0	10000		123	
66154		3	41126	5	90101	6	1+0	10000		124	
66155		3	41127	5	90101	6	1+0	10000		125	
66156		3	41128	5	90101	6	1+0	10000		126	
66157		3	41129	5	90101	6	1+0	10000		127	
66158		3	41130	5	90101	6	1+0	10000		128	
66159		3	45003	1	90001	75000	1+0	10000		129	
66160		3	45004	1	90001	110000	1+0	10000		130	
66161		3	45008	1	90001	75000	1+0	10000		131	
66162		3	45009	1	90001	110000	1+0	10000		132	
66163		3	45013	1	90001	75000	1+0	10000		133	
66164		3	45014	1	90001	110000	1+0	10000		134	
66165		3	45018	1	90001	75000	1+0	10000		135	
66166		3	45019	1	90001	110000	1+0	10000		136	
66167		3	45101	1	90001	1300000	1+0	10000		137	
66168		3	44042	1	90001	750000	1+0	10000		138	
66169		3	44046	1	90001	750000	1+0	10000		139	
66170		3	44031	1	90001	60000	1+0	10000		140	
66171		3	44032	1	90001	120000	1+0	10000		141	
66172		3	44033	1	90001	360000	1+0	10000		142	
66173		3	44034	1	90001	720000	1+0	10000		143	
66174		3	44023	1	90001	65000	1+0	10000		144	
66175		3	44024	1	90001	130000	1+0	10000		145	
66176		3	44025	1	90001	390000	1+0	10000		146	
66177		3	44026	1	90001	780000	1+0	10000		147	
66178		3	44036	1	90001	75000	1+0	10000		148	
66179		3	44037	1	90001	100000	1+0	10000		149	
66180		3	44010	1	90001	500000	1+0	10000		150	
66181		3	44011	1	90001	500000	1+0	10000		151	
66182		3	44012	1	90001	500000	1+0	10000		152	
66183		3	44013	1	90001	500000	1+0	10000		153	
66184		3	44014	1	90001	1000000	1+0	10000		154	
66185		3	44015	1	90001	300000	1+0	10000		155	
66186		3	44016	1	90001	300000	1+0	10000		156	
66187		3	44017	1	90001	300000	1+0	10000		157	
66188		3	44018	1	90001	300000	1+0	10000		158	
66189		3	44019	1	90001	500000	1+0	10000		159	
66190		3	41001	2	90001	30000	1+0	10000		160	
66191		3	41002	5	90001	30000	1+0	10000		161	
66192		3	41003	5	90001	30000	1+0	10000		162	
66193		3	41004	5	90001	30000	1+0	10000		163	
66194		3	41005	5	90001	30000	1+0	10000		164	
66195		3	41006	5	90001	30000	1+0	10000		165	
66196		3	41007	5	90001	30000	1+0	10000		166	
66197		3	41008	5	90001	30000	1+0	10000		167	
66198		3	41009	5	90001	30000	1+0	10000		168	
66199		3	41010	5	90001	30000	1+0	10000		169	
66200		3	41011	5	90001	30000	1+0	10000		170	
66201		3	41012	5	90001	30000	1+0	10000		171	
66202		3	41013	5	90001	30000	1+0	10000		172	
66203		3	41014	5	90001	30000	1+0	10000		173	
66204		3	41015	5	90001	30000	1+0	10000		174	
66205		3	41016	5	90001	30000	1+0	10000		175	
66206		3	41017	5	90001	30000	1+0	10000		176	
66207		3	41018	5	90001	30000	1+0	10000		177	
66208		3	41019	5	90001	30000	1+0	10000		178	
66209		3	41020	5	90001	30000	1+0	10000		179	
66210		3	41021	5	90001	30000	1+0	10000		180	
66211		3	41022	5	90001	30000	1+0	10000		181	
66212		3	41023	5	90001	30000	1+0	10000		182	
66213		3	41024	5	90001	30000	1+0	10000		183	
66214		3	41025	5	90001	30000	1+0	10000		184	
66215		3	41026	5	90001	30000	1+0	10000		185	
66216		3	41027	5	90001	30000	1+0	10000		186	
66217		3	41028	5	90001	30000	1+0	10000		187	
66218		3	41029	5	90001	30000	1+0	10000		188	
66219		3	41030	5	90001	30000	1+0	10000		189	
66220		3	41031	5	90001	30000	1+0	10000		190	
66221		3	41032	5	90001	30000	1+0	10000		191	
66222		3	41033	5	90001	30000	1+0	10000		192	
66223		3	41034	5	90001	30000	1+0	10000		193	
66224		3	41035	5	90001	30000	1+0	10000		194	
66225		3	41036	5	90001	30000	1+0	10000		195	
66226		3	41037	5	90001	30000	1+0	10000		196	
66227		3	41038	5	90001	30000	1+0	10000		197	
66228		3	41039	5	90001	30000	1+0	10000		198	
66229		3	41040	5	90001	30000	1+0	10000		199	
66230		3	41041	5	90001	30000	1+0	10000		200	
66231		3	41042	5	90001	30000	1+0	10000		201	
66232		3	41043	5	90001	30000	1+0	10000		202	
66233		3	41044	5	90001	30000	1+0	10000		203	
66234		3	41045	5	90001	30000	1+0	10000		204	
66235		3	41046	5	90001	30000	1+0	10000		205	
66236		3	41047	5	90001	30000	1+0	10000		206	
66237		3	41048	5	90001	30000	1+0	10000		207	
66238		3	41049	5	90001	30000	1+0	10000		208	
66239		3	41050	5	90001	30000	1+0	10000		209	
66240		3	41051	5	90001	30000	1+0	10000		210	
66241		3	41052	5	90001	30000	1+0	10000		211	
66242		3	41053	5	90001	30000	1+0	10000		212	
66243		3	41054	5	90001	30000	1+0	10000		213	
66244		3	41055	5	90001	30000	1+0	10000		214	
66245		3	41056	5	90001	30000	1+0	10000		215	
66246		3	41057	5	90001	30000	1+0	10000		216	
66247		3	41058	5	90001	30000	1+0	10000		217	
66248		3	41059	5	90001	30000	1+0	10000		218	
66249		3	41060	5	90001	30000	1+0	10000		219	
66250		3	41101	5	90001	30000	1+0	10000		220	
66251		3	41102	5	90001	30000	1+0	10000		221	
66252		3	41103	5	90001	30000	1+0	10000		222	
66253		3	41104	5	90001	30000	1+0	10000		223	
66254		3	41105	5	90001	30000	1+0	10000		224	
66255		3	41106	5	90001	30000	1+0	10000		225	
66256		3	41107	5	90001	30000	1+0	10000		226	
66257		3	41108	5	90001	30000	1+0	10000		227	
66258		3	41109	5	90001	30000	1+0	10000		228	
66259		3	41110	5	90001	30000	1+0	10000		229	
66260		3	41111	5	90001	30000	1+0	10000		230	
66261		3	41112	5	90001	30000	1+0	10000		231	
66262		3	41113	5	90001	30000	1+0	10000		232	
66263		3	41114	5	90001	30000	1+0	10000		233	
66264		3	41115	5	90001	30000	1+0	10000		234	
66265		3	41116	5	90001	30000	1+0	10000		235	
66266		3	41117	5	90001	30000	1+0	10000		236	
66267		3	41118	5	90001	30000	1+0	10000		237	
66268		3	41119	5	90001	30000	1+0	10000		238	
66269		3	41120	5	90001	30000	1+0	10000		239	
66270		3	41121	5	90001	30000	1+0	10000		240	
66271		3	41122	5	90001	30000	1+0	10000		241	
66272		3	41123	5	90001	30000	1+0	10000		242	
66273		3	41124	5	90001	30000	1+0	10000		243	
66274		3	41125	5	90001	30000	1+0	10000		244	
66275		3	41126	5	90001	30000	1+0	10000		245	
66276		3	41127	5	90001	30000	1+0	10000		246	
66277		3	41128	5	90001	30000	1+0	10000		247	
66278		3	41129	5	90001	30000	1+0	10000		248	
66279		3	41130	5	90001	30000	1+0	10000		249	
66280		3	45003	1	90003	75000	1+0	10000		250	
66281		3	45004	1	90003	110000	1+0	10000		251	
66282		3	45008	1	90003	75000	1+0	10000		252	
66283		3	45009	1	90003	110000	1+0	10000		253	
66284		3	45013	1	90003	75000	1+0	10000		254	
66285		3	45014	1	90003	110000	1+0	10000		255	
66286		3	45018	1	90003	75000	1+0	10000		256	
66287		3	45019	1	90003	110000	1+0	10000		257	
66288		3	45101	1	90003	1300000	1+0	10000		258	
66289		3	44042	1	90003	750000	1+0	10000		259	
66290		3	44046	1	90003	750000	1+0	10000		260	
66291		3	44031	1	90003	60000	1+0	10000		261	
66292		3	44032	1	90003	120000	1+0	10000		262	
66293		3	44033	1	90003	360000	1+0	10000		263	
66294		3	44034	1	90003	720000	1+0	10000		264	
66295		3	44023	1	90003	65000	1+0	10000		265	
66296		3	44024	1	90003	130000	1+0	10000		266	
66297		3	44025	1	90003	390000	1+0	10000		267	
66298		3	44026	1	90003	780000	1+0	10000		268	
66299		3	44036	1	90003	75000	1+0	10000		269	
66300		3	44037	1	90003	100000	1+0	10000		270	
66301		3	44010	1	90003	500000	1+0	10000		271	
66302		3	44011	1	90003	500000	1+0	10000		272	
66303		3	44012	1	90003	500000	1+0	10000		273	
66304		3	44013	1	90003	500000	1+0	10000		274	
66305		3	44014	1	90003	1000000	1+0	10000		275	
66306		3	44015	1	90003	300000	1+0	10000		276	
66307		3	44016	1	90003	300000	1+0	10000		277	
66308		3	44017	1	90003	300000	1+0	10000		278	
66309		3	44018	1	90003	300000	1+0	10000		279	
66310		3	44019	1	90003	500000	1+0	10000		280	
66311		3	41001	2	90003	30000	1+0	10000		281	
66312		3	41002	5	90003	30000	1+0	10000		282	
66313		3	41003	5	90003	30000	1+0	10000		283	
66314		3	41004	5	90003	30000	1+0	10000		284	
66315		3	41005	5	90003	30000	1+0	10000		285	
66316		3	41006	5	90003	30000	1+0	10000		286	
66317		3	41007	5	90003	30000	1+0	10000		287	
66318		3	41008	5	90003	30000	1+0	10000		288	
66319		3	41009	5	90003	30000	1+0	10000		289	
66320		3	41010	5	90003	30000	1+0	10000		290	
66321		3	41011	5	90003	30000	1+0	10000		291	
66322		3	41012	5	90003	30000	1+0	10000		292	
66323		3	41013	5	90003	30000	1+0	10000		293	
66324		3	41014	5	90003	30000	1+0	10000		294	
66325		3	41015	5	90003	30000	1+0	10000		295	
66326		3	41016	5	90003	30000	1+0	10000		296	
66327		3	41017	5	90003	30000	1+0	10000		297	
66328		3	41018	5	90003	30000	1+0	10000		298	
66329		3	41019	5	90003	30000	1+0	10000		299	
66330		3	41020	5	90003	30000	1+0	10000		300	
66331		3	41021	5	90003	30000	1+0	10000		301	
66332		3	41022	5	90003	30000	1+0	10000		302	
66333		3	41023	5	90003	30000	1+0	10000		303	
66334		3	41024	5	90003	30000	1+0	10000		304	
66335		3	41025	5	90003	30000	1+0	10000		305	
66336		3	41026	5	90003	30000	1+0	10000		306	
66337		3	41027	5	90003	30000	1+0	10000		307	
66338		3	41028	5	90003	30000	1+0	10000		308	
66339		3	41029	5	90003	30000	1+0	10000		309	
66340		3	41030	5	90003	30000	1+0	10000		310	
66341		3	41031	5	90003	30000	1+0	10000		311	
66342		3	41032	5	90003	30000	1+0	10000		312	
66343		3	41033	5	90003	30000	1+0	10000		313	
66344		3	41034	5	90003	30000	1+0	10000		314	
66345		3	41035	5	90003	30000	1+0	10000		315	
66346		3	41036	5	90003	30000	1+0	10000		316	
66347		3	41037	5	90003	30000	1+0	10000		317	
66348		3	41038	5	90003	30000	1+0	10000		318	
66349		3	41039	5	90003	30000	1+0	10000		319	
66350		3	41040	5	90003	30000	1+0	10000		320	
66351		3	41041	5	90003	30000	1+0	10000		321	
66352		3	41042	5	90003	30000	1+0	10000		322	
66353		3	41043	5	90003	30000	1+0	10000		323	
66354		3	41044	5	90003	30000	1+0	10000		324	
66355		3	41045	5	90003	30000	1+0	10000		325	
66356		3	41046	5	90003	30000	1+0	10000		326	
66357		3	41047	5	90003	30000	1+0	10000		327	
66358		3	41048	5	90003	30000	1+0	10000		328	
66359		3	41049	5	90003	30000	1+0	10000		329	
66360		3	41050	5	90003	30000	1+0	10000		330	
66361		3	41051	5	90003	30000	1+0	10000		331	
66362		3	41052	5	90003	30000	1+0	10000		332	
66363		3	41053	5	90003	30000	1+0	10000		333	
66364		3	41054	5	90003	30000	1+0	10000		334	
66365		3	41055	5	90003	30000	1+0	10000		335	
66366		3	41056	5	90003	30000	1+0	10000		336	
66367		3	41057	5	90003	30000	1+0	10000		337	
66368		3	41058	5	90003	30000	1+0	10000		338	
66369		3	41059	5	90003	30000	1+0	10000		339	
66370		3	41060	5	90003	30000	1+0	10000		340	
66371		3	41101	5	90003	30000	1+0	10000		341	
